updatedAt,log_return
2023-03-24,
2023-03-25,
2023-03-26,
2023-03-27,
2023-03-28,
2023-03-29,
2023-03-30,
2023-03-31,
2023-04-01,
2023-04-02,
2023-04-03,
2023-04-04,
2023-04-05,
2023-04-06,
2023-04-07,
2023-04-08,
2023-04-09,
2023-04-10,
2023-04-11,
2023-04-12,
2023-04-13,
2023-04-14,
2023-04-15,
2023-04-16,
2023-04-17,
2023-04-18,
2023-04-19,
2023-04-20,
2023-04-21,
2023-04-22,
2023-04-23,1.32450318
2023-04-24,1.31545254
2023-04-25,1.30951329
2023-04-26,1.2621134
2023-04-27,1.25651676
2023-04-28,1.26220056
2023-04-29,1.19494842
2023-04-30,1.19471745
2023-05-01,1.17505624
2023-05-02,1.14650397
2023-05-03,1.13550684
2023-05-04,1.11475876
2023-05-05,1.11838829
2023-05-06,1.15891155
2023-05-07,1.15919503
2023-05-08,1.21592787
2023-05-09,1.21468271
2023-05-10,1.22030282
2023-05-11,1.24336133
2023-05-12,1.2692636
2023-05-13,1.17092603
2023-05-14,0.88088149
2023-05-15,0.88466373
2023-05-16,0.87508537
2023-05-17,0.86806764
2023-05-18,0.85573931
2023-05-19,0.77583571
2023-05-20,0.77112762
2023-05-21,0.76884032
2023-05-22,0.76912336
2023-05-23,0.72971745
2023-05-24,0.7464295
2023-05-25,0.73477272
2023-05-26,0.75589853
2023-05-27,0.75013902
2023-05-28,0.78091338
2023-05-29,0.78214424
2023-05-30,0.78207656
2023-05-31,0.78990838
2023-06-01,0.78470896
2023-06-02,0.8368096
2023-06-03,0.83724622
2023-06-04,0.82991948
2023-06-05,0.79964535
2023-06-06,0.81428903
2023-06-07,0.74324377
2023-06-08,0.74285913
2023-06-09,0.71206719
2023-06-10,0.80164752
2023-06-11,0.75490701
2023-06-12,0.75528022
2023-06-13,0.75811403
2023-06-14,0.77115882
2023-06-15,0.77323982
2023-06-16,0.77744754
2023-06-17,0.77568517
2023-06-18,0.77486954
2023-06-19,0.77739692
2023-06-20,0.81497007
2023-06-21,0.83475414
2023-06-22,0.84061359
2023-06-23,0.83646986
2023-06-24,0.85458052
2023-06-25,0.84649361
