updatedAt,log_return
2022-11-23,
2022-11-24,
2022-11-25,
2022-11-26,
2022-11-27,
2022-11-28,
2022-11-29,
2022-11-30,
2022-12-01,
2022-12-02,
2022-12-03,
2022-12-04,
2022-12-05,
2022-12-06,
2022-12-07,
2022-12-08,
2022-12-09,
2022-12-10,
2022-12-11,
2022-12-12,
2022-12-13,
2022-12-14,
2022-12-15,
2022-12-16,
2022-12-17,
2022-12-18,
2022-12-19,
2022-12-20,
2022-12-21,
2022-12-22,
2022-12-23,1.08764322
2022-12-24,1.05952874
2022-12-25,1.0607239
2022-12-26,1.05429379
2022-12-27,1.05489158
2022-12-28,1.04624129
2022-12-29,1.04636623
2022-12-30,0.87100784
2022-12-31,0.86770196
2023-01-01,0.77769753
2023-01-02,0.73849193
2023-01-03,0.73102005
2023-01-04,0.74372714
2023-01-05,0.74047794
2023-01-06,0.72692265
2023-01-07,0.70989001
2023-01-08,0.7024351
2023-01-09,0.71686349
2023-01-10,0.73303548
2023-01-11,0.7165469
2023-01-12,0.65700091
2023-01-13,0.75675367
2023-01-14,0.75024371
2023-01-15,0.67908985
2023-01-16,0.67825882
2023-01-17,0.66850648
2023-01-18,0.70514647
2023-01-19,0.67461216
2023-01-20,0.75618357
2023-01-21,0.7727188
2023-01-22,0.78719514
2023-01-23,0.8295637
2023-01-24,0.90348886
2023-01-25,0.93343113
2023-01-26,0.93677056
2023-01-27,0.93994548
2023-01-28,0.93906549
2023-01-29,0.97419118
2023-01-30,1.00226632
2023-01-31,1.0021163
2023-02-01,1.066808
2023-02-02,1.06602097
2023-02-03,1.094938
2023-02-04,1.09531119
2023-02-05,1.1259623
2023-02-06,1.12426512
2023-02-07,1.13949001
2023-02-08,1.17314831
2023-02-09,1.24190354
2023-02-10,1.23784057
2023-02-11,1.27218519
2023-02-12,1.23650085
2023-02-13,1.23984574
2023-02-14,1.28940163
2023-02-15,1.3035046
2023-02-16,1.32250025
2023-02-17,1.28904274
2023-02-18,1.29822759
2023-02-19,1.27959598
