updatedAt,log_return
2023-09-19,
2023-09-20,
2023-09-21,
2023-09-22,
2023-09-23,
2023-09-24,
2023-09-25,
2023-09-26,
2023-09-27,
2023-09-28,
2023-09-29,
2023-09-30,
2023-10-01,
2023-10-02,
2023-10-03,
2023-10-04,
2023-10-05,
2023-10-06,
2023-10-07,
2023-10-08,
2023-10-09,
2023-10-10,
2023-10-11,
2023-10-12,
2023-10-13,
2023-10-14,
2023-10-15,
2023-10-16,
2023-10-17,
2023-10-18,
2023-10-19,0.80885767
2023-10-20,0.84008588
2023-10-21,0.83192277
2023-10-22,0.84088543
2023-10-23,0.83823438
2023-10-24,0.84039002
2023-10-25,0.84063298
2023-10-26,0.84063537
2023-10-27,0.84040544
2023-10-28,0.79042051
2023-10-29,0.79012987
2023-10-30,0.79385437
2023-10-31,0.77364652
2023-11-01,0.7344127
2023-11-02,0.6968755
2023-11-03,0.69617972
2023-11-04,0.68024222
2023-11-05,0.67728176
2023-11-06,0.68325028
2023-11-07,0.70080916
2023-11-08,0.6826613
2023-11-09,0.83810991
2023-11-10,0.83172328
2023-11-11,0.84024951
2023-11-12,0.86835663
2023-11-13,0.87058889
2023-11-14,0.89858434
2023-11-15,0.84415393
2023-11-16,0.89580542
2023-11-17,0.91489331
2023-11-18,0.9476381
2023-11-19,0.94011839
2023-11-20,0.95595425
2023-11-21,1.02336854
2023-11-22,1.04370036
2023-11-23,1.03770251
2023-11-24,1.05204703
2023-11-25,1.05466009
2023-11-26,2.73472584
2023-11-27,2.71130668
2023-11-28,2.71788291
2023-11-29,
2023-11-30,
2023-12-01,
2023-12-02,
2023-12-03,
2023-12-04,
2023-12-05,
2023-12-06,
2023-12-07,
2023-12-08,
2023-12-09,
2023-12-10,
2023-12-11,
2023-12-12,
2023-12-13,
2023-12-14,
2023-12-15,
2023-12-16,
2023-12-17,
2023-12-18,
2023-12-19,
2023-12-20,
2023-12-21,
2023-12-22,
2023-12-23,
2023-12-24,
2023-12-25,
2023-12-26,
2023-12-27,
2023-12-28,
2023-12-29,
2023-12-30,
2023-12-31,
2024-01-01,
2024-01-02,
2024-01-03,
2024-01-04,1.03022058
2024-01-05,0.95418415
2024-01-06,1.00362004
2024-01-07,1.00091367
2024-01-08,0.99401002
2024-01-09,1.00732697
2024-01-10,1.24867747
2024-01-11,1.2890444
2024-01-12,1.32845477
2024-01-13,1.32769941
2024-01-14,1.30336772
2024-01-15,1.30586387
2024-01-16,1.43848405
2024-01-17,1.44438866
2024-01-18,1.44803427
2024-01-19,1.47941778
2024-01-20,1.50239717
2024-01-21,1.53935788
2024-01-22,1.64789215
2024-01-23,1.65541314
