updatedAt,log_return
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,
2022-03-01,
2022-03-02,
2022-03-03,
2022-03-04,
2022-03-05,
2022-03-06,
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-12,
2022-03-13,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,0.99559648
2022-03-18,0.99659477
2022-03-19,0.96093176
2022-03-20,0.96585759
2022-03-21,0.9650943
2022-03-22,0.96906541
2022-03-23,0.92836419
2022-03-24,0.9543445
2022-03-25,0.96344217
2022-03-26,0.95643839
2022-03-27,0.9628968
2022-03-28,0.95754839
2022-03-29,0.94244335
2022-03-30,0.81345005
2022-03-31,0.80955923
2022-04-01,0.85358748
2022-04-02,0.83036921
2022-04-03,0.76881212
2022-04-04,0.78088938
2022-04-05,0.76654096
2022-04-06,0.88231981
2022-04-07,0.8949662
2022-04-08,0.92783105
2022-04-09,0.8973418
2022-04-10,0.889318
2022-04-11,0.99029113
2022-04-12,0.98242351
2022-04-13,0.98094694
2022-04-14,0.99398512
2022-04-15,0.97982935
2022-04-16,0.98013675
2022-04-17,0.98160593
2022-04-18,0.97755185
2022-04-19,0.9794146
2022-04-20,0.98397705
2022-04-21,0.99406095
2022-04-22,0.98467422
2022-04-23,0.94841367
2022-04-24,0.9403889
2022-04-25,0.93519557
2022-04-26,0.93739867
2022-04-27,0.9440306
2022-04-28,0.92892629
2022-04-29,0.88227897
2022-04-30,0.93319887
2022-05-01,0.89716767
2022-05-02,0.89811843
2022-05-03,0.88603241
2022-05-04,0.94082031
2022-05-05,0.97705574
2022-05-06,0.90479248
2022-05-07,0.87603494
2022-05-08,0.85086697
2022-05-09,0.9829644
2022-05-10,1.00608179
2022-05-11,1.32612238
2022-05-12,1.34652698
2022-05-13,1.39295725
2022-05-14,1.43579711
2022-05-15,1.50866364
2022-05-16,1.5269329
2022-05-17,1.55521695
2022-05-18,1.60329426
2022-05-19,1.59763187
2022-05-20,1.60082891
2022-05-21,1.6054855
2022-05-22,1.62342969
2022-05-23,1.62990954
2022-05-24,1.6343417
2022-05-25,1.62830732
2022-05-26,1.64358905
2022-05-27,1.63585362
2022-05-28,1.676774
2022-05-29,1.68147873
2022-05-30,1.67590648
2022-05-31,1.65483397
2022-06-01,1.69327567
2022-06-02,1.69858053
2022-06-03,1.6639128
2022-06-04,1.65482537
2022-06-05,1.65545975
2022-06-06,1.70613995
2022-06-07,1.71209782
2022-06-08,1.63566118
2022-06-09,1.62940771
2022-06-10,1.34124431
2022-06-11,1.32147114
2022-06-12,1.31133634
2022-06-13,1.29034535
2022-06-14,1.22680929
2022-06-15,1.33450856
2022-06-16,1.37142319
2022-06-17,1.31507603
2022-06-18,1.30677058
2022-06-19,1.33314647
2022-06-20,1.34046149
2022-06-21,1.32847131
2022-06-22,1.32109063
2022-06-23,1.38670913
2022-06-24,1.42832065
2022-06-25,1.39063609
2022-06-26,1.39700045
2022-06-27,1.36878848
2022-06-28,1.39512311
2022-06-29,1.38492039
2022-06-30,1.38333809
